,claim_id,customer_id,incident_cause,claim_date,claim_area,police_report,claim_type,claim_amount,total_policy_claims,fraudulent
0,54004764,21868593,Driver error,11/27/2017,Auto,No,Material only,$2980,1.0,No
1,33985796,75740424,Crime,10/03/2018,Home,Unknown,Material only,$2980,3.0,No
2,53522022,30308357,Other driver error,02/02/2018,Auto,No,Material only,$3369.5,1.0,Yes
3,13015401,47830476,Natural causes,06/17/2018,Auto,No,Material only,$1680,1.0,No
4,22890252,19269962,Crime,01/13/2018,Auto,No,Material only,$2680,1.0,No
5,24050443,21831191,Other driver error,10/04/2017,Auto,No,Injury only,$38306.5,3.0,Yes
6,12878692,18401412,Driver error,01/13/2018,Auto,No,Material only,$1730,4.0,No
7,27026412,73486606,Natural causes,04/10/2018,Auto,No,Material only,$1160,3.0,No
8,43908336,32813689,Crime,02/15/2018,Auto,Unknown,Material only,$2620,1.0,No
9,63246959,33507197,Crime,07/22/2017,Auto,No,Material only,$2748.5,2.0,Yes
10,74165873,99103685,Other driver error,01/13/2018,Home,No,Material only,$1495,1.0,Yes
11,28564401,51583214,Other driver error,12/10/2017,Auto,Unknown,Material and injury,$16690,1.0,No
12,72738047,35875366,Other driver error,04/24/2018,Auto,Unknown,Material only,$1870,1.0,No
13,53780662,21240703,Other driver error,09/19/2018,Auto,Unknown,Material only,$1050,1.0,No
14,67257404,18288638,Other driver error,04/24/2018,Auto,Yes,Injury only,$32560,1.0,No
15,35489765,63240241,Natural causes,10/03/2018,Auto,No,Material only,$2870,1.0,No
16,12548447,1407979,Driver error,06/03/2018,Auto,Unknown,Material only,$3208.5,1.0,Yes
17,7809917,63916778,Other causes,07/22/2017,Auto,No,Injury only,$17800,1.0,No
18,29205389,17004138,Natural causes,06/25/2017,Auto,No,Injury only,$31380,1.0,No
19,19051665,9667764,Other causes,12/17/2017,Auto,Yes,Injury only,$36190,1.0,No
20,32630720,75584003,Crime,02/03/2017,Auto,No,Material only,,1.0,No
21,17910612,90012444,Other driver error,08/24/2017,Auto,No,Material only,$1010,1.0,No
22,46956597,10665308,Natural causes,07/20/2018,Auto,No,Material only,,1.0,No
23,68848682,35597589,Other driver error,05/29/2017,Auto,Yes,Injury only,$16830,1.0,No
24,8782253,1924109,Driver error,09/14/2017,Auto,No,Material only,$1690,1.0,No
25,41262918,12871942,Natural causes,04/25/2017,Auto,No,Material only,$2830,1.0,No
26,71088680,32155446,Driver error,12/24/2017,Auto,No,Material and injury,$32640,4.0,No
27,54764639,35876516,Driver error,08/10/2018,Auto,No,Material only,$2870,1.0,No
28,52278305,13265356,Driver error,10/17/2017,Home,No,Material only,$1210,1.0,No
29,18210740,80379865,Natural causes,02/09/2018,Auto,No,Injury only,$18580,,No
30,22215431,64899302,Other driver error,06/23/2018,Auto,No,Material only,$2630,1.0,No
31,10738822,11278282,Natural causes,08/10/2018,Auto,No,Material only,$2540,1.0,No
32,7800059,90425966,Driver error,03/01/2018,Auto,No,Material only,$2320,1.0,No
33,16773361,70459181,Other driver error,10/10/2017,Auto,No,Material only,$2725.5,1.0,Yes
34,99427250,91546921,Crime,05/21/2018,Home,No,Material only,$2070,1.0,No
35,70399158,26489135,Driver error,07/01/2017,Auto,No,Material only,$1110,1.0,No
36,5481268,76422302,Crime,10/31/2017,Home,No,Material only,$1030,1.0,No
37,13167216,27205554,Driver error,05/14/2018,Auto,No,Injury only,$16910,1.0,No
38,30942972,60225946,Other causes,02/17/2017,Auto,No,Material only,$1890,1.0,No
39,13578273,34790013,Other driver error,12/24/2017,Auto,Yes,Material and injury,$33040,5.0,No
40,22639991,53333796,Other causes,10/09/2018,Auto,Yes,Material and injury,$25320,1.0,No
41,73894966,28307541,Driver error,11/27/2017,Auto,No,Material only,$2340,1.0,No
42,64959397,85536059,Other driver error,04/25/2017,Auto,Yes,Material and injury,$33000,2.0,No
43,3673097,54642094,Driver error,04/12/2017,Auto,No,Injury only,$19960,1.0,No
44,58245818,47091036,Driver error,07/27/2018,Home,No,Injury only,$27230,1.0,No
45,83744906,48277275,Other driver error,04/12/2017,Auto,No,Material and injury,$16150,1.0,No
46,14836805,75252854,Other driver error,02/23/2017,Auto,Yes,Injury only,$32630,1.0,No
47,28636278,31012778,Other causes,03/01/2018,Auto,No,Material only,,5.0,Yes
48,96749077,84571128,Natural causes,05/15/2017,Auto,No,Material only,,1.0,Yes
49,40638641,38286862,Other causes,10/31/2017,Auto,Unknown,Material and injury,$41850,1.0,No
50,94303580,1163515,Crime,04/25/2017,Auto,Yes,Injury only,$30540,1.0,No
51,39647651,18361978,Other causes,08/31/2017,Auto,Unknown,Material and injury,$25576,7.0,Yes
52,97983922,94953428,Other causes,06/18/2017,Auto,No,Material only,$2210,3.0,No
53,42420540,42333031,Other causes,02/22/2018,Auto,Yes,Material and injury,$40820,3.0,No
54,25108581,91786228,Other driver error,06/23/2018,Auto,No,Material only,$1150,1.0,Yes
55,54192772,61051505,Other driver error,07/01/2017,Auto,Unknown,Material and injury,$35765,1.0,Yes
56,47783756,8132649,Other driver error,11/20/2017,Auto,No,Material only,$2470,1.0,No
57,14730852,49428676,Other causes,06/17/2018,Auto,No,Material and injury,$20999,1.0,Yes
58,37727681,77436411,Other driver error,02/02/2018,Auto,Unknown,Material only,$3358,4.0,Yes
59,87229793,44319192,Other causes,04/10/2018,Auto,Yes,Material and injury,$41430,1.0,No
60,73138939,57510487,Driver error,12/10/2017,Auto,No,Material only,$1730,1.0,No
61,23504103,62797342,Other driver error,02/09/2018,Auto,Unknown,Material and injury,$20360,1.0,No
62,29613369,56923917,Other driver error,05/21/2018,Auto,No,Material only,$2870,4.0,No
63,21972507,83088652,Driver error,01/14/2017,Auto,Unknown,Material only,$2910,1.0,No
64,42737631,53087364,Other causes,07/22/2017,Home,No,Material and injury,$33550,1.0,No
65,95352573,9089663,Other driver error,11/20/2017,Auto,No,Material and injury,$33190,1.0,No
66,43973221,83290720,Driver error,09/26/2018,Auto,Yes,Material and injury,,1.0,No
67,79089153,78364565,Other causes,02/10/2017,Auto,Yes,Injury only,$25830,3.0,No
68,37305754,99761663,Natural causes,04/04/2018,Auto,No,Material only,$1242,1.0,Yes
69,55252454,6298259,Natural causes,05/29/2017,Auto,Unknown,Material and injury,$20080,2.0,No
70,20332975,51936868,Natural causes,08/16/2018,Auto,No,Material only,$2120,1.0,No
71,69101899,35907845,Crime,05/14/2018,Auto,Unknown,Material and injury,$19520,1.0,No
72,49234022,17390816,Natural causes,03/29/2017,Auto,No,Material only,$2090,1.0,No
73,85585944,9908654,Other driver error,06/23/2018,Auto,No,Material only,$1989.5,1.0,Yes
74,35407789,47228798,Crime,01/21/2017,Auto,Unknown,Material only,,1.0,Yes
75,26332402,11593991,Other causes,03/01/2018,Auto,No,Material only,$2060,1.0,No
76,50337100,15036122,Other driver error,07/20/2018,Auto,Unknown,Injury only,$30080,1.0,No
77,1886311,59046302,Driver error,04/04/2018,Auto,No,Material only,$1680,6.0,No
78,84635473,74058124,Driver error,01/13/2018,Auto,Unknown,Injury only,$21505,1.0,Yes
79,99210077,95221640,Crime,05/21/2018,Auto,No,Material only,$2040,1.0,No
80,57876931,5956033,Other driver error,02/09/2018,Auto,No,Material and injury,,1.0,Yes
81,11951632,91462331,Driver error,02/15/2018,Auto,Unknown,Material and injury,$42722.5,1.0,Yes
82,61170397,7946799,Other causes,07/27/2018,Auto,Unknown,Material and injury,$34971.5,5.0,Yes
83,66546485,83884401,Driver error,05/22/2017,Auto,No,Material only,$1288,1.0,Yes
84,62769771,36498462,Driver error,06/11/2017,Auto,Yes,Injury only,$37800,1.0,No
85,87452238,88191021,Driver error,10/04/2017,Auto,Yes,Material only,,1.0,No
86,99573716,88567908,Driver error,01/27/2017,Auto,No,Material only,$1180,1.0,No
87,39128289,72896975,Other driver error,07/08/2017,Auto,Unknown,Material and injury,$32480,1.0,No
88,64573390,85650096,Crime,08/03/2018,Auto,No,Material only,$2710,1.0,No
89,2181243,51349085,Crime,10/17/2017,Auto,No,Material only,$2620,2.0,No
90,51685791,90202451,Other driver error,11/20/2017,Auto,No,Material only,$1943.5,1.0,Yes
91,1633198,55180831,Other driver error,09/07/2017,Auto,No,Material and injury,,1.0,No
92,15165423,14433043,Driver error,06/30/2018,Auto,Yes,Material only,$2170,5.0,No
93,76552623,56590042,Other causes,11/06/2017,Auto,No,Injury only,$31498.5,4.0,Yes
94,64731876,43870673,Other causes,05/22/2017,Auto,Unknown,Material only,$1700,1.0,No
95,95376481,84734050,Crime,05/28/2018,Auto,Unknown,Material only,$2220,1.0,No
96,21229844,73246256,Crime,11/13/2017,Auto,No,Material only,$1020,1.0,No
97,4506676,2632562,Other driver error,05/14/2018,Home,Unknown,Material only,$1400,1.0,No
98,712628,74125758,Other causes,11/27/2017,Auto,Unknown,Injury only,$22960,1.0,No
99,82144259,92752865,Driver error,04/25/2017,Auto,No,Injury only,,1.0,No
100,93009471,47086007,Other causes,03/09/2017,Auto,Yes,Injury only,$18400,1.0,No
101,23721504,33987747,Driver error,01/14/2017,Auto,No,Material and injury,$37524.5,1.0,Yes
102,43899763,37312925,Driver error,10/31/2017,Auto,Yes,Injury only,$16070,1.0,No
103,4821698,13233814,Other causes,07/08/2017,Auto,Unknown,Material and injury,$17230,1.0,No
104,34488157,32561536,Natural causes,11/06/2017,Auto,No,Material and injury,$24564,1.0,Yes
105,79953107,73456835,Other driver error,10/16/2018,Auto,No,Material only,$2599,1.0,Yes
106,77727200,84767457,Driver error,12/03/2017,Auto,Unknown,Material and injury,$23740,1.0,No
107,33038715,31901720,Crime,03/21/2018,Auto,No,Material only,$1510,1.0,No
108,10744544,67885239,Driver error,05/28/2018,Auto,No,Material only,$2740,1.0,No
109,67043170,94448966,Other driver error,10/16/2018,Auto,No,Injury only,$23760,1.0,No
110,98303926,94633091,Crime,06/25/2017,Auto,No,Material only,$1640,1.0,No
111,84863978,90116906,Driver error,11/13/2017,Auto,No,Injury only,$23270,6.0,No
112,48203523,82832313,Other driver error,12/03/2017,Auto,Yes,Injury only,$29060,1.0,No
113,73460630,87993949,Other causes,06/23/2018,Auto,Unknown,Injury only,$25783,2.0,Yes
114,65335959,61810954,Other driver error,09/19/2018,Auto,Unknown,Material and injury,$36620,1.0,No
115,38446319,55782839,Other causes,12/17/2017,Auto,Unknown,Injury only,$21300,1.0,No
116,39131766,39587790,Other causes,01/01/2017,Auto,No,Material only,$2967,1.0,Yes
117,9961723,14293434,Other driver error,05/22/2017,Home,No,Material and injury,$44493.5,1.0,Yes
118,8405500,46620413,Other causes,03/02/2017,Auto,Unknown,Material only,$3070.5,1.0,Yes
119,58103215,53798973,Other driver error,05/01/2018,Auto,No,Material only,$2560,1.0,No
120,7316148,15556454,Crime,03/14/2018,Auto,No,Material only,$2070,1.0,No
121,35026470,61497833,Other driver error,11/06/2017,Auto,No,Material only,$1759.5,4.0,Yes
122,57560277,92889077,Natural causes,03/08/2018,Home,No,Material only,$1771,5.0,Yes
123,19911335,19171044,Driver error,04/12/2017,Auto,Yes,Injury only,$17360,1.0,No
124,54506772,93291407,Other driver error,07/28/2017,Auto,Unknown,Material only,$1368.5,1.0,Yes
125,11618238,96710523,Other causes,03/21/2018,Home,Yes,Injury only,$19240,1.0,No
126,46248222,52542420,Other driver error,04/10/2018,Auto,No,Material and injury,$14260,2.0,No
127,13774284,37741743,Natural causes,03/08/2018,Auto,No,Material only,$1350,1.0,No
128,30488859,48145469,Other causes,04/10/2018,Auto,Unknown,Material only,$1860,1.0,No
129,52959888,25709472,Other driver error,10/23/2018,Auto,Unknown,Injury only,$15440,1.0,No
130,4112041,58402401,Other causes,09/12/2018,Auto,Unknown,Material and injury,$32710,1.0,No
131,12179959,23092790,Crime,08/03/2018,Auto,Unknown,Material only,$1380,1.0,No
132,59404655,62476442,Natural causes,05/15/2017,Auto,No,Material and injury,,2.0,No
133,5176652,39943087,Other driver error,03/16/2017,Auto,Unknown,Material only,$2510,1.0,No
134,1657284,41265642,Crime,07/22/2017,Auto,No,Material only,,1.0,Yes
135,72074471,73383008,Other driver error,02/09/2018,Auto,Unknown,Injury only,$44700.5,1.0,Yes
136,36664338,77896466,Driver error,12/17/2017,Auto,No,Material only,$1550,1.0,No
137,50826770,83526368,Crime,10/03/2018,Auto,Unknown,Material only,$1850,3.0,No
138,64209730,31439710,Other driver error,07/20/2018,Home,No,Material only,$2760,1.0,No
139,49955266,30227653,Other driver error,09/07/2017,Auto,No,Material only,$2740,1.0,No
140,44581152,86993944,Other driver error,12/30/2017,Auto,Unknown,Injury only,$26480,1.0,No
141,32116508,65728108,Other causes,10/09/2018,Auto,Unknown,Material and injury,$47610,3.0,Yes
142,48559754,45539668,Other driver error,12/30/2017,Auto,No,Material only,$2170,1.0,No
143,26716331,3159546,Other driver error,04/25/2017,Auto,No,Injury only,$17590,4.0,No
144,74738945,88449349,Other causes,09/12/2018,Auto,No,Material only,$1080,1.0,No
145,30532684,35937389,Natural causes,02/23/2017,Auto,Unknown,Material only,$2610,2.0,No
146,81488988,19441247,Natural causes,07/22/2017,Auto,No,Material only,$1320,1.0,No
147,71767146,7208859,Crime,07/01/2017,Auto,No,Material only,$1840,1.0,No
148,67042203,65950591,Driver error,01/14/2017,Auto,No,Material only,$2970,1.0,No
149,66578763,2327487,Driver error,05/07/2018,Auto,No,Material only,,5.0,No
150,30930636,30722342,Driver error,04/04/2018,Home,Yes,Injury only,$17180,5.0,No
151,30119116,31289360,Other driver error,02/23/2017,Auto,No,Material only,$2720,1.0,No
152,45189268,24826170,Driver error,07/08/2017,Auto,No,Material only,$2700,1.0,No
153,5567470,14860484,Other causes,03/29/2017,Auto,Unknown,Injury only,$14240,4.0,No
154,46868258,39642700,Driver error,12/10/2017,Auto,No,Material only,$2560,3.0,No
155,74988783,3689105,Crime,04/18/2017,Auto,Yes,Injury only,$19440,4.0,No
156,80080381,58850120,Crime,02/23/2017,Auto,Yes,Material and injury,$40180,1.0,No
157,50617945,76965994,Crime,03/09/2017,Auto,No,Material only,$1260,1.0,No
158,3589979,14490971,Crime,09/19/2018,Auto,No,Material only,$1880,4.0,No
159,33643946,88277241,Other causes,07/08/2017,Auto,Unknown,Injury only,,1.0,Yes
160,71464126,87386746,Other causes,07/20/2018,Auto,No,Material only,$2260,1.0,No
161,19241230,55157616,Other driver error,04/25/2017,Auto,No,Material only,$2960,1.0,No
162,8499165,55593844,Other causes,07/22/2017,Auto,No,Material only,$1253.5,1.0,Yes
163,65264955,72556809,Other causes,08/16/2018,Auto,Yes,Material and injury,$32300,2.0,No
164,66703144,45653187,Natural causes,04/04/2018,Home,No,Material only,$1660,1.0,No
165,66892177,48538925,Other causes,06/04/2017,Auto,No,Injury only,$22420,1.0,No
166,75262517,68724425,Natural causes,06/10/2018,Auto,No,Material only,$2150,3.0,No
167,7883163,50817031,Crime,01/26/2018,Auto,Unknown,Material only,$2460,1.0,No
168,88126193,16836323,Crime,01/14/2017,Auto,No,Material only,$1140,4.0,No
169,57237955,72701589,Driver error,07/20/2018,Auto,No,Material only,,1.0,No
170,26752193,88126167,Crime,04/18/2017,Auto,Unknown,Injury only,$17050,1.0,No
171,94297538,50642114,Other driver error,01/06/2018,Auto,Unknown,Injury only,$25030,1.0,No
172,90714815,32180678,Other causes,08/11/2017,Auto,Unknown,Material and injury,,4.0,No
173,25647821,74155265,Natural causes,01/01/2017,Auto,No,Material only,$2080,1.0,No
174,56330110,26168099,Natural causes,05/07/2018,Auto,No,Injury only,$38590,3.0,No
175,87184588,804961,Other causes,10/10/2017,Auto,No,Material and injury,$21190,1.0,No
176,18636027,25823839,Driver error,10/10/2017,Auto,Unknown,Injury only,$36180,1.0,No
177,90591192,61745840,Other driver error,01/01/2017,Home,No,Material and injury,$30930,1.0,No
178,18700750,86024944,Other driver error,07/15/2017,Auto,Unknown,Material and injury,$47679,2.0,Yes
179,72789616,40080423,Other driver error,08/30/2018,Auto,Unknown,Material only,$2440,1.0,No
180,19132019,14275512,Driver error,10/09/2018,Auto,Unknown,Injury only,$28060,1.0,No
181,21361160,70442756,Natural causes,01/06/2018,Auto,No,Material only,$1850,1.0,No
182,80894091,36829984,Other driver error,02/22/2018,Auto,Yes,Material and injury,$24750,1.0,No
183,21550521,68772500,Driver error,08/30/2018,Auto,Unknown,Material only,$2320,1.0,No
184,69348631,154557,Driver error,04/10/2018,Auto,No,Injury only,,1.0,Yes
185,86624774,97640137,Driver error,02/02/2018,Auto,Unknown,Injury only,$29600,1.0,No
186,2040094,49270602,Other causes,06/17/2018,Auto,No,Material only,$1790,1.0,No
187,93354997,25021031,Other causes,01/06/2018,Auto,Yes,Injury only,$31270,1.0,No
188,61761215,2590748,Other driver error,10/03/2018,Auto,Unknown,Material and injury,$30530,2.0,No
189,17871003,98905793,Other driver error,09/19/2018,Auto,Unknown,Material only,$3139.5,3.0,Yes
190,90504501,39495715,Driver error,08/31/2017,Auto,No,Material only,$2470,1.0,No
191,23636125,64840478,Other driver error,01/01/2017,Auto,Unknown,Material and injury,$17290,1.0,No
192,73972734,30541131,Other driver error,08/11/2017,Home,Unknown,Material only,$1570,1.0,No
193,2322078,51503228,Driver error,12/17/2017,Auto,Unknown,Injury only,$14330,3.0,No
194,94870378,57959733,Other driver error,07/22/2017,Auto,No,Material only,$2530,3.0,No
195,46572741,82415154,Other driver error,06/11/2017,Auto,No,Material and injury,$15240,1.0,No
196,50960913,67861420,Other causes,02/15/2018,Auto,No,Material only,$1880,1.0,No
197,91841652,16811546,Crime,08/10/2018,Auto,Unknown,Injury only,$37200,1.0,No
198,73800450,74840885,Crime,03/14/2018,Home,Unknown,Material only,$2060,5.0,No
199,14457951,95719884,Crime,05/22/2017,Auto,Unknown,Material only,$1020,1.0,No
200,82692173,22856223,Other causes,04/12/2017,Auto,No,Material and injury,$40660,1.0,No
201,2262550,26965990,Other causes,02/23/2017,Auto,Unknown,Material only,$2310,1.0,No
202,91210035,48447568,Driver error,10/24/2017,Auto,No,Material and injury,$15920,1.0,No
203,19333178,16102401,Driver error,08/18/2017,Home,Yes,Material only,$2710,1.0,No
204,36685947,26448215,Natural causes,02/03/2017,Auto,No,Material only,$2290,1.0,No
205,84933468,40922910,Other driver error,02/03/2017,Auto,No,Material only,$1180,4.0,No
206,61672806,43293983,Other causes,08/11/2017,Auto,No,Material only,$3059,1.0,Yes
207,1189987,51195864,Other driver error,09/20/2017,Auto,Unknown,Material only,$1630,2.0,No
208,43722644,36395486,Other causes,01/07/2017,Home,No,Material only,$3335,3.0,Yes
209,24499353,32850276,Natural causes,10/09/2018,Home,No,Material only,$1580,1.0,No
210,70086627,94041088,Natural causes,12/10/2017,Home,Unknown,Material only,$2645,1.0,Yes
211,97233183,90718924,Other causes,01/21/2017,Home,No,Material and injury,$27560,1.0,No
212,70332189,51278451,Other driver error,03/01/2018,Auto,Unknown,Material and injury,$20660,1.0,No
213,3883874,16868327,Driver error,01/14/2017,Auto,No,Material only,$1400,1.0,No
